winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,p1 algorithm name,p2 algorithm name,Distance of p1 to the goal,Distance of p2 to the goal
P1,-1,20.20330715,15,10,7,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,16.50164461,21,10,2,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P2,1,40.87205505,34,10,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,4,0
P1,-1,21.3775568,19,9,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,20.33200073,37,8,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,25.84271026,29,7,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P2,1,47.0632672,46,10,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,8,0
P1,-1,15.98933673,19,9,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,22.12255645,21,8,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,16.70084047,15,10,6,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,14.05746341,15,10,5,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,18.49596143,17,10,8,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P2,1,40.11719918,38,10,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,6,0
P1,-1,22.65943241,21,8,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,14
P1,-1,14.91506362,19,10,3,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,14.22030401,19,10,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P1,-1,20.59286451,39,7,0,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,8
P1,-1,12.56287384,15,10,4,minimax-alpha-beta-pruning,monte-carlo-tree-search,0,16
P2,1,35.02659369,30,10,1,minimax-alpha-beta-pruning,monte-carlo-tree-search,4,0
