winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
2.0,1.0,18.80372357,30.0,9.0,5.0,2.0,0.0
2.0,1.0,29.11387253,40.0,10.0,1.0,4.0,0.0
1.0,-1.0,20.84717989,31.0,9.0,4.0,0.0,4.0
1.0,-1.0,23.95993209,33.0,10.0,2.0,0.0,4.0
2.0,1.0,27.42357779,40.0,10.0,4.0,6.0,0.0
1.0,-1.0,31.15905976,31.0,7.0,6.0,0.0,4.0
1.0,-1.0,27.46944118,31.0,3.0,6.0,0.0,4.0
2.0,1.0,24.35468984,32.0,10.0,4.0,6.0,0.0
2.0,1.0,26.20031285,32.0,10.0,4.0,10.0,0.0
2.0,1.0,24.80434108,34.0,10.0,3.0,6.0,0.0
2.0,1.0,29.499295,38.0,9.0,2.0,8.0,0.0
2.0,1.0,18.28462291,32.0,10.0,4.0,6.0,0.0
2.0,1.0,28.72071815,38.0,5.0,5.0,4.0,0.0
2.0,1.0,25.90672684,38.0,9.0,2.0,8.0,0.0
2.0,1.0,26.91683531,38.0,2.0,6.0,2.0,0.0
2.0,1.0,21.87084699,34.0,10.0,3.0,10.0,0.0
1.0,-1.0,23.53489375,33.0,9.0,2.0,0.0,12.0
2.0,1.0,22.59161973,34.0,10.0,3.0,6.0,0.0
2.0,1.0,20.0209074,30.0,4.0,5.0,2.0,0.0
1.0,-1.0,23.41063023,33.0,9.0,3.0,0.0,10.0
2.0,1.0,24.5438962,42.0,10.0,1.0,6.0,0.0
1.0,-1.0,23.78367901,33.0,9.0,3.0,0.0,10.0
1.0,-1.0,23.62177229,35.0,9.0,3.0,0.0,4.0
2.0,1.0,19.33814406,34.0,10.0,3.0,8.0,0.0
2.0,1.0,22.23322511,32.0,10.0,4.0,6.0,0.0
2.0,1.0,19.30954289,38.0,10.0,3.0,6.0,0.0
2.0,1.0,21.10317183,28.0,8.0,5.0,12.0,0.0
2.0,1.0,26.26647663,42.0,9.0,0.0,8.0,0.0
2.0,1.0,23.77162957,36.0,10.0,3.0,6.0,0.0
1.0,-1.0,21.88712764,37.0,6.0,2.0,0.0,4.0
2.0,1.0,27.42883182,28.0,6.0,6.0,4.0,0.0
2.0,1.0,23.16394067,36.0,10.0,2.0,6.0,0.0
2.0,1.0,28.75273085,32.0,7.0,4.0,4.0,0.0
1.0,-1.0,18.31431222,31.0,9.0,4.0,0.0,4.0
2.0,1.0,22.52585387,36.0,10.0,2.0,6.0,0.0
2.0,1.0,22.72594357,36.0,10.0,2.0,6.0,0.0
2.0,1.0,22.09725785,32.0,10.0,4.0,6.0,0.0
2.0,1.0,24.90589237,40.0,10.0,1.0,6.0,0.0
2.0,1.0,22.71912503,32.0,10.0,4.0,10.0,0.0
1.0,-1.0,25.14914083,37.0,9.0,2.0,0.0,10.0
1.0,-1.0,21.89796352,31.0,9.0,3.0,0.0,4.0
