winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
2.0,1.0,11.41708946,20.0,8.0,8.0,2.0,0.0
1.0,-1.0,9.123349667,17.0,10.0,10.0,0.0,4.0
2.0,1.0,8.523975611,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,9.971123457,17.0,10.0,9.0,0.0,4.0
2.0,1.0,9.028291702,18.0,8.0,8.0,2.0,0.0
2.0,1.0,9.684452295,20.0,8.0,8.0,2.0,0.0
2.0,1.0,8.909610033,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.52590704,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.831868172,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,9.610658646,21.0,8.0,7.0,0.0,2.0
2.0,1.0,8.801968813,18.0,8.0,8.0,2.0,0.0
2.0,1.0,6.551528454,20.0,7.0,7.0,2.0,0.0
2.0,1.0,5.907496452,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,7.017726898,19.0,8.0,7.0,0.0,2.0
1.0,-1.0,8.000361681,19.0,8.0,9.0,0.0,4.0
2.0,1.0,7.725463629,14.0,10.0,10.0,2.0,0.0
2.0,1.0,8.690646887,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,8.370449305,19.0,8.0,7.0,0.0,2.0
2.0,1.0,7.486933708,18.0,8.0,8.0,2.0,0.0
2.0,1.0,9.305962563,20.0,8.0,8.0,2.0,0.0
2.0,1.0,7.772557735,18.0,8.0,8.0,2.0,0.0
2.0,1.0,7.634448051,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,8.383103609,21.0,8.0,7.0,0.0,2.0
2.0,1.0,7.881475449,18.0,8.0,8.0,2.0,0.0
2.0,1.0,7.987475395,18.0,8.0,8.0,2.0,0.0
2.0,1.0,7.807305813,18.0,8.0,8.0,2.0,0.0
2.0,1.0,7.985780478,16.0,9.0,9.0,2.0,0.0
1.0,-1.0,8.511917591,19.0,8.0,8.0,0.0,4.0
2.0,1.0,8.812523842,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.098884821,14.0,10.0,10.0,2.0,0.0
2.0,1.0,7.534663439,18.0,8.0,8.0,2.0,0.0
2.0,1.0,7.632283211,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,8.881175041,21.0,7.0,7.0,0.0,2.0
2.0,1.0,8.098003864,18.0,7.0,8.0,4.0,0.0
1.0,-1.0,8.022433996,19.0,8.0,7.0,0.0,2.0
1.0,-1.0,9.226026058,19.0,8.0,9.0,0.0,4.0
2.0,1.0,7.028632402,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.961260557,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.687590599,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.561443567,16.0,9.0,10.0,2.0,0.0
2.0,1.0,8.158264399,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.458524227,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,7.862008572,19.0,8.0,7.0,0.0,2.0
2.0,1.0,8.917852402,18.0,8.0,8.0,2.0,0.0
2.0,1.0,10.04241014,22.0,6.0,8.0,2.0,0.0
1.0,-1.0,8.252465487,17.0,10.0,9.0,0.0,4.0
1.0,-1.0,9.987788916,21.0,7.0,7.0,0.0,2.0
2.0,1.0,9.338231325,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,9.145732164,19.0,8.0,7.0,0.0,2.0
1.0,-1.0,10.39462209,19.0,8.0,9.0,0.0,4.0
2.0,1.0,7.788853407,20.0,7.0,7.0,2.0,0.0
2.0,1.0,8.575225353,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.200148821,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.091498375,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.252102852,18.0,7.0,8.0,4.0,0.0
1.0,-1.0,8.22980547,19.0,8.0,7.0,0.0,2.0
2.0,1.0,10.62487173,18.0,8.0,9.0,2.0,0.0
1.0,-1.0,9.162341356,19.0,8.0,7.0,0.0,2.0
2.0,1.0,9.625113487,20.0,8.0,8.0,2.0,0.0
2.0,1.0,8.884315968,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,9.240912437,21.0,7.0,8.0,0.0,2.0
2.0,1.0,8.468066931,18.0,8.0,8.0,2.0,0.0
2.0,1.0,8.791940212,18.0,8.0,8.0,2.0,0.0
1.0,-1.0,8.986261606,19.0,8.0,8.0,0.0,4.0
1.0,-1.0,8.597502947,19.0,8.0,7.0,0.0,2.0
1.0,-1.0,8.896217346,21.0,7.0,9.0,0.0,2.0
1.0,-1.0,8.760968685,19.0,8.0,7.0,0.0,2.0
1.0,-1.0,8.717924118,19.0,8.0,7.0,0.0,2.0
