winner,game_result,exec_time,num_turns,p1_rem_walls,p2_rem_walls,Distance of p1 to the goal,Distance of p2 to the goal
1.0,-1.0,14.80185175,17.0,10.0,3.0,0.0,16.0
1.0,-1.0,18.278198,17.0,9.0,4.0,0.0,14.0
2.0,1.0,19.12547374,32.0,1.0,5.0,2.0,0.0
1.0,-1.0,14.13417268,17.0,9.0,5.0,0.0,16.0
1.0,-1.0,25.95690489,23.0,7.0,3.0,0.0,12.0
1.0,-1.0,21.15922594,23.0,9.0,4.0,0.0,16.0
1.0,-1.0,14.05773258,15.0,10.0,6.0,0.0,14.0
1.0,-1.0,16.24168015,23.0,10.0,4.0,0.0,12.0
1.0,-1.0,23.53210497,21.0,9.0,3.0,0.0,14.0
1.0,-1.0,14.41467166,19.0,10.0,3.0,0.0,16.0
1.0,-1.0,17.7010181,19.0,10.0,3.0,0.0,16.0
1.0,-1.0,20.58876681,23.0,10.0,2.0,0.0,14.0
1.0,-1.0,13.56958652,19.0,10.0,2.0,0.0,16.0
1.0,-1.0,23.64156508,19.0,9.0,4.0,0.0,14.0
1.0,-1.0,17.87913632,19.0,9.0,4.0,0.0,10.0
1.0,-1.0,17.54970717,17.0,10.0,5.0,0.0,12.0
1.0,-1.0,14.93287301,27.0,7.0,3.0,0.0,12.0
1.0,-1.0,13.04255915,15.0,10.0,7.0,0.0,16.0
1.0,-1.0,15.50946832,19.0,10.0,2.0,0.0,16.0
1.0,-1.0,15.13901281,27.0,9.0,0.0,0.0,16.0
1.0,-1.0,45.47817802,37.0,7.0,1.0,0.0,8.0
1.0,-1.0,24.8705132,21.0,9.0,4.0,0.0,14.0
1.0,-1.0,18.02762794,17.0,9.0,4.0,0.0,14.0
1.0,-1.0,20.40565777,23.0,9.0,3.0,0.0,14.0
1.0,-1.0,21.79427195,29.0,8.0,1.0,0.0,14.0
1.0,-1.0,20.26841402,21.0,9.0,2.0,0.0,16.0
1.0,-1.0,23.78644323,19.0,9.0,4.0,0.0,10.0
1.0,-1.0,29.38870978,21.0,9.0,4.0,0.0,14.0
1.0,-1.0,19.20176864,21.0,10.0,3.0,0.0,16.0
1.0,-1.0,19.45969486,21.0,10.0,1.0,0.0,16.0
1.0,-1.0,17.39847231,15.0,10.0,5.0,0.0,16.0
1.0,-1.0,27.09745193,25.0,9.0,2.0,0.0,14.0
1.0,-1.0,19.15300941,17.0,9.0,6.0,0.0,14.0
1.0,-1.0,14.75595951,15.0,10.0,6.0,0.0,16.0
1.0,-1.0,18.52182555,17.0,10.0,6.0,0.0,14.0
1.0,-1.0,19.89827967,21.0,10.0,4.0,0.0,16.0
1.0,-1.0,26.13447881,25.0,9.0,4.0,0.0,16.0
1.0,-1.0,17.92984581,19.0,9.0,4.0,0.0,14.0
1.0,-1.0,16.49947882,21.0,10.0,1.0,0.0,16.0
1.0,-1.0,13.76656723,17.0,10.0,2.0,0.0,16.0
1.0,-1.0,25.40960169,21.0,9.0,6.0,0.0,14.0
1.0,-1.0,22.55331278,23.0,9.0,2.0,0.0,10.0
1.0,-1.0,18.66195416,15.0,10.0,5.0,0.0,14.0
1.0,-1.0,16.64100432,17.0,10.0,6.0,0.0,16.0
1.0,-1.0,24.90774632,19.0,10.0,5.0,0.0,14.0
1.0,-1.0,17.29633474,17.0,10.0,4.0,0.0,16.0
1.0,-1.0,15.53884935,17.0,10.0,4.0,0.0,16.0
1.0,-1.0,14.16457105,17.0,10.0,3.0,0.0,16.0
1.0,-1.0,19.46338701,23.0,10.0,4.0,0.0,16.0
1.0,-1.0,18.8053565,17.0,10.0,6.0,0.0,14.0
1.0,-1.0,27.47759509,23.0,9.0,5.0,0.0,12.0
1.0,-1.0,25.05081892,47.0,8.0,0.0,0.0,16.0
1.0,-1.0,13.76601243,17.0,10.0,3.0,0.0,16.0
1.0,-1.0,24.80439019,27.0,10.0,4.0,0.0,16.0
1.0,-1.0,18.24630189,21.0,10.0,2.0,0.0,14.0
1.0,-1.0,21.47302032,27.0,10.0,1.0,0.0,14.0
1.0,-1.0,17.24103045,17.0,9.0,4.0,0.0,14.0
1.0,-1.0,21.23981977,21.0,10.0,4.0,0.0,12.0
1.0,-1.0,20.20330715,15.0,10.0,7.0,0.0,14.0
1.0,-1.0,16.50164461,21.0,10.0,2.0,0.0,16.0
1.0,-1.0,21.3775568,19.0,9.0,5.0,0.0,16.0
1.0,-1.0,20.33200073,37.0,8.0,0.0,0.0,16.0
1.0,-1.0,25.84271026,29.0,7.0,0.0,0.0,14.0
1.0,-1.0,15.98933673,19.0,9.0,3.0,0.0,16.0
1.0,-1.0,22.12255645,21.0,8.0,5.0,0.0,14.0
1.0,-1.0,16.70084047,15.0,10.0,6.0,0.0,16.0
1.0,-1.0,14.05746341,15.0,10.0,5.0,0.0,14.0
1.0,-1.0,18.49596143,17.0,10.0,8.0,0.0,14.0
1.0,-1.0,22.65943241,21.0,8.0,3.0,0.0,14.0
1.0,-1.0,14.91506362,19.0,10.0,3.0,0.0,16.0
1.0,-1.0,14.22030401,19.0,10.0,1.0,0.0,16.0
1.0,-1.0,20.59286451,39.0,7.0,0.0,0.0,8.0
1.0,-1.0,12.56287384,15.0,10.0,4.0,0.0,16.0
2.0,1.0,35.02659369,50.0,10.0,1.0,4.0,0.0
1.0,-1.0,15.6952529,17.0,10.0,4.0,0.0,16.0
1.0,-1.0,17.33644533,17.0,10.0,5.0,0.0,10.0
1.0,-1.0,18.44286537,15.0,10.0,7.0,0.0,14.0
1.0,-1.0,15.72495174,21.0,10.0,2.0,0.0,16.0
1.0,-1.0,17.9367137,21.0,10.0,4.0,0.0,16.0
1.0,-1.0,20.08594489,25.0,5.0,5.0,0.0,10.0
1.0,-1.0,17.85998464,29.0,10.0,1.0,0.0,10.0
1.0,-1.0,15.98104668,17.0,10.0,4.0,0.0,16.0
1.0,-1.0,15.04526114,21.0,10.0,3.0,0.0,16.0
1.0,-1.0,27.70332003,33.0,6.0,4.0,0.0,12.0
1.0,-1.0,26.68043017,29.0,9.0,1.0,0.0,12.0
1.0,-1.0,22.98509979,21.0,8.0,5.0,0.0,16.0
1.0,-1.0,13.28698802,13.0,10.0,5.0,0.0,14.0
1.0,-1.0,33.82105613,37.0,8.0,0.0,0.0,14.0
1.0,-1.0,12.96615338,15.0,10.0,4.0,0.0,16.0
